,Date,Open,High,Low,Close,Adj Close,Volume
2888,2015-10-07,27.934999,27.942499,27.352501,27.695,25.07387,187062400
2889,2015-10-08,27.547501,27.547501,27.0525,27.375,24.784157,247918400
2890,2015-10-09,27.5,28.07,27.372499,28.030001,25.377172,211064400
2891,2015-10-12,28.182501,28.1875,27.860001,27.9,25.25947,121868800
2892,2015-10-13,27.705,28.112499,27.67,27.9475,25.302477,132197200
2893,2015-10-14,27.8225,27.879999,27.389999,27.5525,24.944859,177849600
2894,2015-10-15,27.7325,28.025,27.622499,27.965,25.318321,150694000
2895,2015-10-16,27.945,28.0,27.6325,27.76,25.132725,156930400
2896,2015-10-19,27.700001,27.9375,27.5275,27.932501,25.2889,119036800
2897,2015-10-20,27.834999,28.5425,27.705,28.442499,25.750631,195871200
2898,2015-10-21,28.5,28.895,28.424999,28.440001,25.748363,167180800
2899,2015-10-22,28.5825,28.875,28.525,28.875,26.142195,166616400
2900,2015-10-23,29.174999,29.807501,29.0825,29.77,26.952496,237467600
2901,2015-10-26,29.52,29.532499,28.73,28.82,26.092396,265335200
2902,2015-10-27,28.85,29.135,28.497499,28.637501,25.927174,279537600
2903,2015-10-28,29.2325,29.825001,29.014999,29.817499,26.995495,342205600
2904,2015-10-29,29.674999,30.172501,29.567499,30.1325,27.280678,204909200
2905,2015-10-30,30.247499,30.305,29.862499,29.875,27.047554,197461200
2906,2015-11-02,30.200001,30.34,29.9025,30.295,27.427801,128813200
2907,2015-11-03,30.1975,30.872499,30.174999,30.6425,27.742413,182076000
2908,2015-11-04,30.782499,30.955,30.405001,30.5,27.613403,179544400
2909,2015-11-05,30.4625,30.672501,30.045,30.23,27.486107,158210800
2910,2015-11-06,30.2775,30.452499,30.155001,30.264999,27.517933,132169200
2911,2015-11-09,30.24,30.452499,30.012501,30.1425,27.406555,135485600
2912,2015-11-10,29.225,29.5175,29.014999,29.192499,26.542772,236511600
2913,2015-11-11,29.092501,29.355,28.8025,29.0275,26.392752,180872000
2914,2015-11-12,29.065001,29.205,28.9125,28.93,26.304102,130102400
2915,2015-11-13,28.799999,28.8925,28.067499,28.084999,25.535801,183249600
2916,2015-11-16,27.844999,28.559999,27.75,28.545,25.95405,152426800
2917,2015-11-17,28.73,28.762501,28.33,28.422501,25.842672,110467600
2918,2015-11-18,28.940001,29.372499,28.875,29.3225,26.660976,186698800
2919,2015-11-19,29.41,29.9375,29.190001,29.695,26.999668,173183200
2920,2015-11-20,29.799999,29.98,29.7125,29.825001,27.11787,137148400
2921,2015-11-23,29.817499,29.932501,29.334999,29.4375,26.765537,129930000
2922,2015-11-24,29.3325,29.8375,29.280001,29.719999,27.0224,171212800
2923,2015-11-25,29.8025,29.807501,29.48,29.5075,26.829184,85553200
2924,2015-11-27,29.5725,29.602501,29.4,29.452499,26.779175,52185600
2925,2015-11-30,29.497499,29.852501,29.4375,29.575001,26.890558,156721200
2926,2015-12-01,29.6875,29.702499,29.215,29.334999,26.672338,139409600
2927,2015-12-02,29.334999,29.5275,29.02,29.07,26.431396,133546400
2928,2015-12-03,29.137501,29.1975,28.555,28.799999,26.185904,166278000
2929,2015-12-04,28.8225,29.8125,28.7775,29.7575,27.056498,231108000
2930,2015-12-07,29.745001,29.965,29.452499,29.57,26.886017,128336800
2931,2015-12-08,29.379999,29.65,29.215,29.557501,26.874649,137238000
2932,2015-12-09,29.41,29.422501,28.77,28.905001,26.281374,185445600
2933,2015-12-10,29.01,29.235001,28.877501,29.0425,26.406393,116850800
2934,2015-12-11,28.797501,28.8475,28.2125,28.295,25.726738,187544800
2935,2015-12-14,28.045,28.17,27.4475,28.120001,25.567623,257274800
2936,2015-12-15,27.985001,28.200001,27.5875,27.622499,25.115278,213292400
2937,2015-12-16,27.7675,27.997499,27.200001,27.834999,25.308495,224954000
2938,2015-12-17,28.004999,28.0625,27.245001,27.245001,24.772045,179091200
2939,2015-12-18,27.227501,27.379999,26.452499,26.5075,24.101492,385813200
2940,2015-12-21,26.82,26.842501,26.3925,26.8325,24.396986,190362400
2941,2015-12-22,26.85,26.93,26.612499,26.807501,24.374262,131157600
2942,2015-12-23,26.817499,27.2125,26.799999,27.1525,24.687946,130629600
2943,2015-12-24,27.25,27.25,26.987499,27.0075,24.556107,54281600
2944,2015-12-28,26.897499,26.922501,26.545,26.705,24.281065,106816800
2945,2015-12-29,26.74,27.3575,26.715,27.184999,24.717493,123724800
2946,2015-12-30,27.145,27.174999,26.795,26.83,24.394716,100855200
2947,2015-12-31,26.752501,26.7575,26.205,26.315001,23.926462,163649200
2948,2016-01-04,25.6525,26.342501,25.5,26.3375,23.94692,270597600
2949,2016-01-05,26.4375,26.4625,25.602501,25.6775,23.346825,223164000
2950,2016-01-06,25.139999,25.592501,24.967501,25.174999,22.889936,273829600
2951,2016-01-07,24.67,25.032499,24.1075,24.112499,21.923874,324377600
2952,2016-01-08,24.637501,24.7775,24.190001,24.24,22.039803,283192000
2953,2016-01-11,24.7425,24.764999,24.334999,24.6325,22.396675,198957600
2954,2016-01-12,25.137501,25.172501,24.709999,24.99,22.721727,196616800
2955,2016-01-13,25.08,25.297501,24.325001,24.3475,22.137548,249758400
2956,2016-01-14,24.49,25.120001,23.934999,24.879999,22.621714,252680400
2957,2016-01-15,24.049999,24.4275,23.84,24.282499,22.078445,319335600
2958,2016-01-19,24.602501,24.6625,23.875,24.165001,21.971611,212350800
2959,2016-01-20,23.775,24.547501,23.355,24.1975,22.001158,289337600
2960,2016-01-21,24.264999,24.469999,23.735001,24.075001,21.889778,208646000
2961,2016-01-22,24.657499,25.365,24.592501,25.355,23.053598,263202000
2962,2016-01-25,25.379999,25.3825,24.8025,24.860001,22.603529,207178000
2963,2016-01-26,24.9825,25.219999,24.5175,24.997499,22.728546,300308000
2964,2016-01-27,24.01,24.157499,23.334999,23.355,21.23513,533478800
2965,2016-01-28,23.4475,23.629999,23.0975,23.522499,21.387432,222715200
2966,2016-01-29,23.6975,24.334999,23.5875,24.334999,22.126179,257666000
2967,2016-02-01,24.1175,24.1775,23.85,24.1075,21.919333,163774000
2968,2016-02-02,23.855,24.01,23.57,23.620001,21.476082,149428800
2969,2016-02-03,23.75,24.209999,23.52,24.0875,21.901142,183857200
2970,2016-02-04,23.965,24.3325,23.797501,24.15,22.077124,185886800
2971,2016-02-05,24.129999,24.23,23.422501,23.504999,21.487478,185672400
2972,2016-02-08,23.282499,23.924999,23.26,23.752501,21.713739,216085600
2973,2016-02-09,23.5725,23.985001,23.4825,23.747499,21.709171,177324800
2974,2016-02-10,23.98,24.0875,23.525,23.567499,21.544617,169374400
2975,2016-02-11,23.4475,23.68,23.147499,23.424999,21.414345,200298800
2976,2016-02-12,23.547501,23.625,23.252501,23.497499,21.480631,161405600
2977,2016-02-16,23.754999,24.2125,23.6525,24.16,22.08626,196231600
2978,2016-02-17,24.1675,24.5525,24.0375,24.530001,22.424509,179452800
2979,2016-02-18,24.709999,24.7225,24.022499,24.065001,21.999422,156084000
2980,2016-02-19,24.0,24.190001,23.950001,24.01,21.949135,141496800
2981,2016-02-22,24.077499,24.225,23.98,24.219999,22.141115,137123200
2982,2016-02-23,24.1,24.125,23.637501,23.672501,21.640604,127770400
2983,2016-02-24,23.495001,24.094999,23.33,24.025,21.962851,145022800
2984,2016-02-25,24.012501,24.190001,23.8125,24.190001,22.113691,110330800
2985,2016-02-26,24.299999,24.504999,24.145,24.227501,22.14797,115964400
2986,2016-02-29,24.215,24.557501,24.1625,24.172501,22.097691,140865200
2987,2016-03-01,24.4125,25.192499,24.355,25.1325,22.975285,201628400
2988,2016-03-02,25.127501,25.2225,24.91,25.1875,23.025566,132678400
2989,2016-03-03,25.145,25.4275,25.112499,25.375,23.196968,147822800
2990,2016-03-04,25.592501,25.9375,25.342501,25.752501,23.542076,184220400
2991,2016-03-07,25.5975,25.7075,25.24,25.467501,23.281538,143315600
2992,2016-03-08,25.195,25.440001,25.1,25.2575,23.08956,126247600
2993,2016-03-09,25.327499,25.395,25.067499,25.280001,23.11013,108806800
2994,2016-03-10,25.352501,25.559999,25.0375,25.2925,23.121553,134054400
2995,2016-03-11,25.559999,25.57,25.375,25.565001,23.370668,109632800
2996,2016-03-14,25.477501,25.727501,25.445,25.629999,23.430086,100304400
2997,2016-03-15,25.99,26.295,25.9625,26.145,23.900881,160270800
2998,2016-03-16,26.1525,26.577499,26.147499,26.4925,24.218557,153214000
2999,2016-03-17,26.379999,26.6175,26.24,26.450001,24.179707,137682800
3000,2016-03-18,26.584999,26.625,26.297501,26.48,24.207127,176820800
3001,2016-03-21,26.4825,26.9125,26.285,26.477501,24.204842,142010800
3002,2016-03-22,26.3125,26.8225,26.3025,26.68,24.389963,129777600
3003,2016-03-23,26.620001,26.7675,26.475,26.532499,24.255129,102814000
3004,2016-03-24,26.3675,26.5625,26.2225,26.4175,24.149998,104532000
3005,2016-03-28,26.5,26.547501,26.264999,26.297501,24.040293,77645600
3006,2016-03-29,26.2225,26.9475,26.219999,26.92,24.609364,124760400
3007,2016-03-30,27.1625,27.605,27.15,27.389999,25.039017,182404400
3008,2016-03-31,27.43,27.475,27.219999,27.247499,24.908747,103553600
3009,2016-04-01,27.195,27.5,27.049999,27.497499,25.137297,103496000
3010,2016-04-04,27.605,28.047501,27.567499,27.780001,25.395548,149424800
3011,2016-04-05,27.377501,27.682501,27.355,27.452499,25.096155,106314800
3012,2016-04-06,27.557501,27.745001,27.299999,27.74,25.358976,105616400
3013,2016-04-07,27.487499,27.605,27.030001,27.135,24.805908,127207600
3014,2016-04-08,27.227501,27.442499,27.0425,27.165001,24.833334,94326800
3015,2016-04-11,27.2425,27.6525,27.2075,27.254999,24.915609,117630000
3016,2016-04-12,27.334999,27.625,27.165001,27.610001,25.240135,108929200
3017,2016-04-13,27.700001,28.084999,27.700001,28.01,25.605803,133029200
3018,2016-04-14,27.905001,28.0975,27.8325,28.025,25.619516,101895600
3019,2016-04-15,28.0275,28.075001,27.432501,27.4625,25.105295,187756000
3020,2016-04-18,27.2225,27.237499,26.735001,26.870001,24.563656,243286000
3021,2016-04-19,26.969999,27.0,26.557501,26.727501,24.433388,129539600
3022,2016-04-20,26.66,27.022499,26.514999,26.782499,24.48366,122444000
3023,2016-04-21,26.7325,26.7325,26.379999,26.4925,24.218557,126210000
3024,2016-04-22,26.252501,26.620001,26.155001,26.42,24.152279,134732400
3025,2016-04-25,26.25,26.4125,26.127501,26.27,24.015152,112126400
3026,2016-04-26,25.977501,26.325001,25.977501,26.0875,23.848324,224064800
3027,2016-04-27,24.0,24.6775,23.92,24.455,22.35594,458408400
3028,2016-04-28,24.4025,24.469999,23.5625,23.7075,21.6726,328970800
3029,2016-04-29,23.497499,23.68,23.127501,23.434999,21.423498,274126000
3030,2016-05-02,23.4925,23.52,23.1,23.41,21.400639,192640400
3031,2016-05-03,23.549999,23.934999,23.42,23.795,21.752592,227325200
3032,2016-05-04,23.799999,23.975,23.455,23.547501,21.526337,164102000
3033,2016-05-05,23.5,23.5175,23.17,23.309999,21.438959,143562000
3034,2016-05-06,23.342501,23.362499,22.9625,23.18,21.319395,174799600
3035,2016-05-09,23.25,23.442499,23.147499,23.1975,21.335487,131745600
3036,2016-05-10,23.3325,23.3925,23.0275,23.355,21.480349,134747200
3037,2016-05-11,23.370001,23.3925,23.115,23.127501,21.271112,114876400
3038,2016-05-12,23.18,23.195,22.3675,22.584999,20.772152,305258800
3039,2016-05-13,22.5,22.9175,22.5,22.629999,20.813541,177571200
3040,2016-05-16,23.0975,23.5975,22.9125,23.469999,21.586115,245039200
3041,2016-05-17,23.637501,23.674999,23.252501,23.372499,21.496447,187667600
3042,2016-05-18,23.540001,23.8025,23.4725,23.639999,21.742476,168249600
3043,2016-05-19,23.66,23.66,23.3925,23.549999,21.659695,121768400
3044,2016-05-20,23.66,23.8575,23.629999,23.805,21.894224,128104000
3045,2016-05-23,23.967501,24.297501,23.9175,24.1075,22.172445,152074400
3046,2016-05-24,24.305,24.522499,24.209999,24.475,22.510448,140560800
3047,2016-05-25,24.6675,24.934999,24.5275,24.905001,22.90593,152675200
3048,2016-05-26,24.92,25.182501,24.66,25.102501,23.087582,225324800
3049,2016-05-27,24.860001,25.1175,24.8125,25.0875,23.073793,145364800
3050,2016-05-31,24.9,25.1,24.705,24.965,22.961123,169228800
3051,2016-06-01,24.754999,24.885,24.5825,24.615,22.639214,116693200
3052,2016-06-02,24.4,24.459999,24.157499,24.43,22.469065,160766400
3053,2016-06-03,24.4475,24.567499,24.362499,24.48,22.515049,114019600
3054,2016-06-06,24.497499,25.4725,24.387501,24.657499,22.678299,93170000
3055,2016-06-07,24.8125,24.967501,24.74,24.7575,22.770275,89638000
3056,2016-06-08,24.754999,24.889999,24.67,24.735001,22.749575,83392400
3057,2016-06-09,24.625,24.997499,24.615,24.9125,22.912832,106405600
3058,2016-06-10,24.6325,24.8375,24.620001,24.7075,22.724289,126851600
3059,2016-06-13,24.672501,24.780001,24.275,24.334999,22.381681,152082000
3060,2016-06-14,24.33,24.620001,24.1875,24.365,22.409279,127727600
3061,2016-06-15,24.455,24.602501,24.2575,24.285,22.335697,117780800
3062,2016-06-16,24.112499,24.4375,24.0175,24.387501,22.429976,125307200
3063,2016-06-17,24.155001,24.1625,23.825001,23.8325,21.919525,244032800
3064,2016-06-20,24.0,24.1425,23.7575,23.775,21.866636,137647600
3065,2016-06-21,23.735001,24.0875,23.67,23.977501,22.052889,142185600
3066,2016-06-22,24.0625,24.2225,23.8375,23.887501,21.970104,116876400
3067,2016-06-23,23.985001,24.0725,23.8125,24.025,22.096573,128960800
3068,2016-06-24,23.227501,23.665001,23.1625,23.35,21.475752,301245600
3069,2016-06-27,23.25,23.262501,22.875,23.01,21.16304,181958400
3070,2016-06-28,23.225,23.415001,23.035,23.397499,21.519436,161779600
3071,2016-06-29,23.4925,23.637501,23.407499,23.6,21.705679,146124000
3072,2016-06-30,23.610001,23.942499,23.575001,23.9,21.981604,143345600
3073,2016-07-01,23.872499,24.1175,23.8325,23.9725,22.048286,104106000
3074,2016-07-05,23.8475,23.85,23.615,23.747499,21.841345,110820800
3075,2016-07-06,23.65,23.915001,23.592501,23.8825,21.965509,123796400
3076,2016-07-07,23.924999,24.125,23.905001,23.985001,22.059778,100558400
3077,2016-07-08,24.122499,24.2225,24.012501,24.17,22.229935,115648400
3078,2016-07-11,24.1875,24.4125,24.182501,24.245001,22.298912,95179600
3079,2016-07-12,24.2925,24.424999,24.280001,24.355,22.400084,96670000
3080,2016-07-13,24.352501,24.4175,24.209999,24.217501,22.273621,103568800
3081,2016-07-14,24.3475,24.747499,24.33,24.6975,22.715092,155676000
3082,2016-07-15,24.73,24.825001,24.625,24.695,22.71279,120548000
3083,2016-07-18,24.674999,25.032499,24.65,24.9575,22.95422,145975600
3084,2016-07-19,24.889999,25.0,24.834999,24.967501,22.963421,95119600
3085,2016-07-20,25.0,25.115,24.934999,24.99,22.984108,105104000
3086,2016-07-21,24.9575,25.25,24.782499,24.8575,22.862249,130808000
3087,2016-07-22,24.815001,24.825001,24.577499,24.665001,22.685196,113254800
3088,2016-07-25,24.5625,24.709999,24.23,24.334999,22.381681,161531600
3089,2016-07-26,24.205,24.4925,24.105,24.1675,22.227629,224959200
3090,2016-07-27,26.067499,26.0875,25.6875,25.737499,23.67161,369379200
3091,2016-07-28,25.7075,26.112499,25.705,26.084999,23.991222,159479200
3092,2016-07-29,26.047501,26.137501,25.92,26.0525,23.961329,110934800
3093,2016-08-01,26.102501,26.5375,26.102501,26.512501,24.384403,152671600
3094,2016-08-02,26.512501,26.5175,26.0,26.120001,24.023407,135266400
3095,2016-08-03,26.202499,26.459999,26.192499,26.4475,24.324623,120810400
3096,2016-08-04,26.395,26.5,26.32,26.467501,24.474892,109634800
3097,2016-08-05,26.567499,26.9125,26.545,26.870001,24.847086,162213600
3098,2016-08-08,26.879999,27.092501,26.790001,27.092501,25.052837,112148800
3099,2016-08-09,27.057501,27.235001,27.002501,27.202499,25.154551,105260800
3100,2016-08-10,27.1775,27.225,26.940001,27.0,24.9673,96034000
3101,2016-08-11,27.129999,27.2325,26.9625,26.9825,24.951118,109938000
3102,2016-08-12,26.945,27.110001,26.945,27.045,25.008907,74641600
3103,2016-08-15,27.035,27.385,27.02,27.370001,25.309443,103472800
3104,2016-08-16,27.407499,27.557501,27.3025,27.344999,25.286322,135177600
3105,2016-08-17,27.275,27.342501,27.084999,27.305,25.249342,101424000
3106,2016-08-18,27.307501,27.4,27.254999,27.27,25.216974,87938800
3107,2016-08-19,27.192499,27.422501,27.09,27.34,25.2817,101472400
3108,2016-08-22,27.215,27.275,26.9625,27.127501,25.085203,103280800
3109,2016-08-23,27.147499,27.33,27.1325,27.2125,25.163801,85030800
3110,2016-08-24,27.1425,27.1875,26.92,27.0075,24.974234,94700400
3111,2016-08-25,26.8475,26.969999,26.67,26.8925,24.867891,100344800
3112,2016-08-26,26.852501,26.987499,26.577499,26.735001,24.722248,111065200
3113,2016-08-29,26.655001,26.860001,26.5725,26.705,24.69451,99881200
3114,2016-08-30,26.450001,26.625,26.375,26.5,24.504944,99455600
3115,2016-08-31,26.415001,26.6425,26.41,26.525,24.528055,118649600
3116,2016-09-01,26.535,26.700001,26.405001,26.682501,24.673708,106806000
3117,2016-09-02,26.924999,27.0,26.705,26.932501,24.904884,107210000
3118,2016-09-06,26.975,27.075001,26.877501,26.924999,24.897945,107521600
3119,2016-09-07,26.9575,27.190001,26.7675,27.09,25.050524,169457200
3120,2016-09-08,26.8125,26.817499,26.309999,26.379999,24.393972,212008000
3121,2016-09-09,26.16,26.43,25.782499,25.782499,23.841457,186228000
3122,2016-09-12,25.6625,26.43,25.6325,26.360001,24.375484,181171200
3123,2016-09-13,26.877501,27.1975,26.809999,26.987499,24.955736,248704800
3124,2016-09-14,27.182501,28.2575,27.15,27.942499,25.83884,443554800
3125,2016-09-15,28.465,28.932501,28.372499,28.8925,26.717325,359934400
3126,2016-09-16,28.780001,29.032499,28.51,28.73,26.567057,319547600
3127,2016-09-19,28.797501,29.045,28.3125,28.395,26.257278,188092000
3128,2016-09-20,28.262501,28.530001,28.127501,28.3925,26.254965,138057200
3129,2016-09-21,28.4625,28.497499,28.110001,28.387501,26.250343,144012800
3130,2016-09-22,28.5875,28.735001,28.5,28.655001,26.497698,124296000
3131,2016-09-23,28.605,28.6975,27.887501,28.1775,26.056154,209924800
3132,2016-09-26,27.91,28.3475,27.887501,28.219999,26.095453,119477600
3133,2016-09-27,28.25,28.295,28.084999,28.272499,26.143991,98429600
3134,2016-09-28,28.422501,28.66,28.3575,28.487499,26.34281,118564400
3135,2016-09-29,28.290001,28.450001,27.950001,28.045,25.933622,143548000
3136,2016-09-30,28.115,28.342501,27.950001,28.262501,26.134752,145516400
3137,2016-10-03,28.1775,28.262501,28.07,28.129999,26.012224,86807200
3138,2016-10-04,28.264999,28.577499,28.157499,28.25,26.12319,118947200
3139,2016-10-05,28.35,28.415001,28.172501,28.262501,26.134752,85812400
3140,2016-10-06,28.424999,28.584999,28.282499,28.4725,26.328943,115117200
3141,2016-10-07,28.577499,28.639999,28.377501,28.514999,26.368246,97433600
3142,2016-10-10,28.754999,29.1875,28.68,29.012501,26.828293,144944000
3143,2016-10-11,29.424999,29.672501,29.049999,29.075001,26.886087,256164000
3144,2016-10-12,29.3375,29.495001,29.1875,29.334999,27.126509,150347200
3145,2016-10-13,29.1975,29.360001,28.93,29.245001,27.043285,140769600
3146,2016-10-14,29.469999,29.5425,29.282499,29.407499,27.193548,142608800
3147,2016-10-17,29.3325,29.459999,29.195,29.387501,27.175056,94499600
3148,2016-10-18,29.545,29.5525,29.362499,29.3675,27.156567,98214000
3149,2016-10-19,29.3125,29.440001,28.450001,29.280001,27.075653,80138400
3150,2016-10-20,29.215,29.344999,29.0825,29.264999,27.061779,96503200
3151,2016-10-21,29.202499,29.227501,29.07,29.15,26.955437,92770800
3152,2016-10-24,29.275,29.434999,29.25,29.4125,27.198177,94154800
3153,2016-10-25,29.487499,29.59,29.327499,29.5625,27.33688,192516000
3154,2016-10-26,28.577499,28.924999,28.327499,28.897499,26.721945,264536800
3155,2016-10-27,28.8475,28.965,28.525,28.620001,26.465336,138248000
3156,2016-10-28,28.467501,28.8025,28.362499,28.43,26.289644,151446800
3157,2016-10-31,28.4125,28.557501,28.299999,28.385,26.24803,105677600
3158,2016-11-01,28.365,28.442499,27.6325,27.872499,25.774107,175303200
3159,2016-11-02,27.85,28.0875,27.807501,27.897499,25.797232,113326800
3160,2016-11-03,27.745001,27.865,27.387501,27.4575,25.520714,107730400
3161,2016-11-04,27.1325,27.5625,27.0275,27.209999,25.290672,123348000
3162,2016-11-07,27.52,27.627501,27.365,27.602501,25.655491,130240000
3163,2016-11-08,27.577499,27.93,27.424999,27.764999,25.806526,97016800
3164,2016-11-09,27.469999,27.83,27.012501,27.719999,25.7647,236705600
3165,2016-11-10,27.772499,27.772499,26.4575,26.9475,25.046688,228538000
3166,2016-11-11,26.780001,27.217501,26.637501,27.1075,25.195404,136575600
3167,2016-11-14,26.9275,26.952499,26.02,26.4275,24.563364,204702000
3168,2016-11-15,26.6425,26.92,26.540001,26.7775,24.888685,129058000
3169,2016-11-16,26.674999,27.557501,26.65,27.497499,25.557892,235362000
3170,2016-11-17,27.452499,27.5875,27.2075,27.487499,25.548603,110528000
3171,2016-11-18,27.43,27.635,27.415001,27.514999,25.57416,113715600
3172,2016-11-21,27.530001,27.997499,27.502501,27.932501,25.962214,117058400
3173,2016-11-22,27.987499,28.105,27.85,27.950001,25.978477,103862000
3174,2016-11-23,27.84,27.877501,27.5825,27.807501,25.846029,109705600
3175,2016-11-25,27.782499,27.967501,27.737499,27.9475,25.976152,45903600
3176,2016-11-28,27.8575,28.1175,27.8475,27.8925,25.925034,108776000
3177,2016-11-29,27.695,28.0075,27.5175,27.865,25.899466,114115200
3178,2016-11-30,27.9,28.049999,27.567499,27.629999,25.681042,144649200
